feature,modality,family,meaning,unit,formula,computation_note,task_scope,aggregation,required_inputs,normalization,evidence_tier,implementation_status,interpretation,source_document,source_location,source_function
aLL_vert_prc_5_95,kinematic,Vertical lip/jaw displacement,Vertical lip-opening acceleration — within-rep range,ICD/s^2,requested summary of |d2x/dt2|; derivative uses signed dx/dt,aLL_vert =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Acceleration of vertical opening; peaks decline with bulbar progression. Noise-amplified by double differentiation — interpret cautiously (within-rep range: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_acceleration_from_speed_gradient
aLL_vert_prc_5_iqr,kinematic,Vertical lip/jaw displacement,Vertical lip-opening acceleration — P5 inter-rep IQR,ICD/s^2,requested summary of |d2x/dt2|; derivative uses signed dx/dt,aLL_vert =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Acceleration of vertical opening; peaks decline with bulbar progression. Noise-amplified by double differentiation — interpret cautiously (P5 inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_acceleration_from_speed_gradient
aLL_vert_med_iqr,kinematic,Vertical lip/jaw displacement,Vertical lip-opening acceleration — median inter-rep IQR,ICD/s^2,requested summary of |d2x/dt2|; derivative uses signed dx/dt,aLL_vert =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Acceleration of vertical opening; peaks decline with bulbar progression. Noise-amplified by double differentiation — interpret cautiously (median inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_acceleration_from_speed_gradient
aLL_vert_prc_95_iqr,kinematic,Vertical lip/jaw displacement,Vertical lip-opening acceleration — P95 inter-rep IQR,ICD/s^2,requested summary of |d2x/dt2|; derivative uses signed dx/dt,aLL_vert =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Acceleration of vertical opening; peaks decline with bulbar progression. Noise-amplified by double differentiation — interpret cautiously (P95 inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_acceleration_from_speed_gradient
aLL_vert_prc_5_95_iqr,kinematic,Vertical lip/jaw displacement,Vertical lip-opening acceleration — range inter-rep IQR,ICD/s^2,requested summary of |d2x/dt2|; derivative uses signed dx/dt,aLL_vert =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Acceleration of vertical opening; peaks decline with bulbar progression. Noise-amplified by double differentiation — interpret cautiously (range inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_acceleration_from_speed_gradient
path_horz_med,kinematic,Horizontal lip spread,Horizontal-spreading cumulative path — median,ICD (cumulative),median or IQR across movements of sum(|x[i]-x[i-1]|),"Cumulative path of lip-corner horizontal movement, median across reps.",repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,B,implemented-legacy65,Total horizontal (spreading/retraction) excursion. HIGHER in symptomatic ALS.,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_path_from_spread
path_horz_iqr,kinematic,Horizontal lip spread,Horizontal-spreading cumulative path — inter-rep IQR,ICD,median or IQR across movements of sum(|x[i]-x[i-1]|),IQR across reps of horizontal cumulative path.,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Consistency of horizontal excursion across reps.,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_path_from_spread
rom_horz_med,kinematic,Horizontal lip spread,Horizontal range of motion — median,ICD,median or IQR across movements of P95(x)-P05(x),"Range of normalized lip-width (P95-P5), median across reps.",repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,B,implemented-legacy65,"Lip spreading/retraction amplitude (e.g., /i/ vs /u/). Compressed range = reduced lingual-labial differentiation.",Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_range_from_spread
rom_horz_iqr,kinematic,Horizontal lip spread,Horizontal range of motion — inter-rep IQR,ICD,median or IQR across movements of P95(x)-P05(x),IQR across reps of horizontal ROM.,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Trial-to-trial consistency of spreading amplitude.,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_range_from_spread
sLL_horz_prc_5,kinematic,Horizontal lip spread,Horizontal lip-spreading speed — 5th-pct level,ICD/s,requested summary of |dx/dt|; derivative uses timestamps,sLL_horz =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,B,implemented-legacy65,Speed of lip spreading/retraction. Slows with bulbar decline (5th-pct level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_speed_from_spread_gradient
sLL_horz_med,kinematic,Horizontal lip spread,Horizontal lip-spreading speed — median level,ICD/s,requested summary of |dx/dt|; derivative uses timestamps,sLL_horz =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,B,implemented-legacy65,Speed of lip spreading/retraction. Slows with bulbar decline (median level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_speed_from_spread_gradient
sLL_horz_prc_95,kinematic,Horizontal lip spread,Horizontal lip-spreading speed — 95th-pct level,ICD/s,requested summary of |dx/dt|; derivative uses timestamps,sLL_horz =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,B,implemented-legacy65,Speed of lip spreading/retraction. Slows with bulbar decline (95th-pct level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_speed_from_spread_gradient
sLL_horz_prc_5_95,kinematic,Horizontal lip spread,Horizontal lip-spreading speed — within-rep range,ICD/s,requested summary of |dx/dt|; derivative uses timestamps,sLL_horz =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,B,implemented-legacy65,Speed of lip spreading/retraction. Slows with bulbar decline (within-rep range: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_speed_from_spread_gradient
sLL_horz_prc_5_iqr,kinematic,Horizontal lip spread,Horizontal lip-spreading speed — P5 inter-rep IQR,ICD/s,requested summary of |dx/dt|; derivative uses timestamps,sLL_horz =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Speed of lip spreading/retraction. Slows with bulbar decline (P5 inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_speed_from_spread_gradient
sLL_horz_med_iqr,kinematic,Horizontal lip spread,Horizontal lip-spreading speed — median inter-rep IQR,ICD/s,requested summary of |dx/dt|; derivative uses timestamps,sLL_horz =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Speed of lip spreading/retraction. Slows with bulbar decline (median inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_speed_from_spread_gradient
sLL_horz_prc_95_iqr,kinematic,Horizontal lip spread,Horizontal lip-spreading speed — P95 inter-rep IQR,ICD/s,requested summary of |dx/dt|; derivative uses timestamps,sLL_horz =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Speed of lip spreading/retraction. Slows with bulbar decline (P95 inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_speed_from_spread_gradient
sLL_horz_prc_5_95_iqr,kinematic,Horizontal lip spread,Horizontal lip-spreading speed — range inter-rep IQR,ICD/s,requested summary of |dx/dt|; derivative uses timestamps,sLL_horz =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Speed of lip spreading/retraction. Slows with bulbar decline (range inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_speed_from_spread_gradient
aLL_horz_prc_5,kinematic,Horizontal lip spread,Horizontal lip-spreading acceleration — 5th-pct level,ICD/s^2,requested summary of |d2x/dt2|; derivative uses signed dx/dt,aLL_horz =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Acceleration of spreading; noise-amplified by double differentiation (5th-pct level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_acceleration_from_speed_gradient
aLL_horz_med,kinematic,Horizontal lip spread,Horizontal lip-spreading acceleration — median level,ICD/s^2,requested summary of |d2x/dt2|; derivative uses signed dx/dt,aLL_horz =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Acceleration of spreading; noise-amplified by double differentiation (median level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_acceleration_from_speed_gradient
aLL_horz_prc_95,kinematic,Horizontal lip spread,Horizontal lip-spreading acceleration — 95th-pct level,ICD/s^2,requested summary of |d2x/dt2|; derivative uses signed dx/dt,aLL_horz =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Acceleration of spreading; noise-amplified by double differentiation (95th-pct level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_acceleration_from_speed_gradient
aLL_horz_prc_5_95,kinematic,Horizontal lip spread,Horizontal lip-spreading acceleration — within-rep range,ICD/s^2,requested summary of |d2x/dt2|; derivative uses signed dx/dt,aLL_horz =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Acceleration of spreading; noise-amplified by double differentiation (within-rep range: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_acceleration_from_speed_gradient
aLL_horz_prc_5_iqr,kinematic,Horizontal lip spread,Horizontal lip-spreading acceleration — P5 inter-rep IQR,ICD/s^2,requested summary of |d2x/dt2|; derivative uses signed dx/dt,aLL_horz =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Acceleration of spreading; noise-amplified by double differentiation (P5 inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_acceleration_from_speed_gradient
aLL_horz_med_iqr,kinematic,Horizontal lip spread,Horizontal lip-spreading acceleration — median inter-rep IQR,ICD/s^2,requested summary of |d2x/dt2|; derivative uses signed dx/dt,aLL_horz =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Acceleration of spreading; noise-amplified by double differentiation (median inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_acceleration_from_speed_gradient
aLL_horz_prc_95_iqr,kinematic,Horizontal lip spread,Horizontal lip-spreading acceleration — P95 inter-rep IQR,ICD/s^2,requested summary of |d2x/dt2|; derivative uses signed dx/dt,aLL_horz =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Acceleration of spreading; noise-amplified by double differentiation (P95 inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_acceleration_from_speed_gradient
aLL_horz_prc_5_95_iqr,kinematic,Horizontal lip spread,Horizontal lip-spreading acceleration — range inter-rep IQR,ICD/s^2,requested summary of |d2x/dt2|; derivative uses signed dx/dt,aLL_horz =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Acceleration of spreading; noise-amplified by double differentiation (range inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_horizontal_acceleration_from_speed_gradient
aspect_prc_5,kinematic,Lip aperture geometry,Lip aspect ratio (vert/horz) — 5th-pct level,dimensionless,requested summary of mouth_opening/lip_width,aspect = (,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14, 61, 291",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Mouth configuration (tall vs wide). Tracks opening-vs-spreading balance; near-collinear with vertical opening (5th-pct level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_aspect_ratio
