family_id,family_name,construct_number,construct_name,feature_id,status,selectable_in_gui,executor_group,required_boundary_source,required_additional_manifest,task_recommendation,evidence,unit,range,analysis_unit,algorithm,parameter_set_id,reason_if_not_implemented_or_unresolved,id_provenance,identity_basis,not_implemented_reason_class
F02,"Voice quality, perturbation and noise",11,Directional perturbation factor (DFP),dfp_pct,IMPLEMENTED,True,voice,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,%,0–100%,Cycles,family02-praat-1.0.0,family02_stable_vowel_praat_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F13,"Nonlinear complexity, rhythm and regularity composites",77,Articulatory dynamics marker (complexity + rate of vocal-tract movement),dynamics_articulation_rate,NOT_IMPLEMENTED,False,,OTHER,OTHER,source only: Bamboo Passage / sentence-level connected speech,LIMITED,standardized/factor score,No universal bound or implementation-dependent.,Short-time frames or transform-specific analysis windows over the task region defined by the source algorithm.,delta-MFCC RQA + articulation rate,—,"Delta-MFCC RQA metric/threshold/normalization/aggregation and source articulation-rate contract; factor scaling, order, weights and intercept. Existing Family 08 rate does not establish source parity.",SOURCE_DEFINED_ID,DOCX text-box FEATURE ID(S) exact ID,SOURCE_DEFINITION_INCOMPLETE
F13,"Nonlinear complexity, rhythm and regularity composites",77,Articulatory dynamics marker (complexity + rate of vocal-tract movement),dynamics_det_dmfcc_components,NOT_IMPLEMENTED,False,,OTHER,OTHER,source only: Bamboo Passage / sentence-level connected speech,LIMITED,standardized/factor score,No universal bound or implementation-dependent.,Short-time frames or transform-specific analysis windows over the task region defined by the source algorithm.,delta-MFCC RQA + articulation rate,—,"Delta-MFCC RQA metric/threshold/normalization/aggregation and source articulation-rate contract; factor scaling, order, weights and intercept. Existing Family 08 rate does not establish source parity.",SOURCE_DEFINED_ID,DOCX text-box FEATURE ID(S) exact ID,SOURCE_DEFINITION_INCOMPLETE
F13,"Nonlinear complexity, rhythm and regularity composites",77,Articulatory dynamics marker (complexity + rate of vocal-tract movement),dynamics_factor_if_frozen,NOT_IMPLEMENTED,False,,OTHER,OTHER,source only: Bamboo Passage / sentence-level connected speech,LIMITED,standardized/factor score,No universal bound or implementation-dependent.,Short-time frames or transform-specific analysis windows over the task region defined by the source algorithm.,delta-MFCC RQA + articulation rate,—,"Delta-MFCC RQA metric/threshold/normalization/aggregation and source articulation-rate contract; factor scaling, order, weights and intercept. Existing Family 08 rate does not establish source parity.",SOURCE_DEFINED_ID,DOCX text-box FEATURE ID(S) exact ID,FACTOR_TRANSFORM_NOT_FROZEN
F01,F0 and pitch variability,2,Frequency variability (vF0),f0_iqr_st,IMPLEMENTED,True,voice,REVIEWED_SEGMENTATION,NONE,recommended: Bamboo Passage,NOT ESTABLISHED,st,—,Voiced frames,family01-praat-ac-1.0.0,family01_f0_praat_ac_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F01,F0 and pitch variability,1,Fundamental frequency (F0),f0_mean_hz,IMPLEMENTED,True,voice,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,Hz,60–500 Hz,Voiced frames,family01-praat-ac-1.0.0,family01_f0_praat_ac_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F01,F0 and pitch variability,1,Fundamental frequency (F0),f0_median_hz,IMPLEMENTED,True,voice,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,Hz,60–500 Hz,Voiced frames,family01-praat-ac-1.0.0,family01_f0_praat_ac_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F01,F0 and pitch variability,2,Frequency variability (vF0),f0_range_st,IMPLEMENTED,True,voice,REVIEWED_SEGMENTATION,NONE,recommended: Bamboo Passage,NOT ESTABLISHED,st,—,Voiced frames,family01-praat-ac-1.0.0,family01_f0_praat_ac_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F01,F0 and pitch variability,2,Frequency variability (vF0),f0_sd_st,IMPLEMENTED,True,voice,REVIEWED_SEGMENTATION,NONE,recommended: Bamboo Passage,NOT ESTABLISHED,st,—,Voiced frames,family01-praat-ac-1.0.0,family01_f0_praat_ac_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F05,Formant dynamics,34,Formant frequency range (diphthong),f1_range_<diphthong>_hz,UNRESOLVED_TEMPLATE,False,,ALIGNMENT,FORMANT_TARGET,,LIMITED,Hz,0–3000*,Speech · Frames,diphthong formant track → max−min,—,"Diphthong, glide exclusions and concrete ID not frozen.",PROJECT_TEMPLATE,DOCX FEATURE ID(S) template; no frozen concrete public ID,
F05,Formant dynamics,33,Formant transition slope (F1/F2 slope),f1_slope_<target>_hz_s,UNRESOLVED_TEMPLATE,False,,ALIGNMENT,FORMANT_TARGET,conditional: Bamboo Passage,STRONG,Hz/s,−80k–+80k*,Speech · Frames,aligned transition → Burg tracks → slope,—,"Target/task, transition window and concrete ID not frozen.",PROJECT_TEMPLATE,DOCX FEATURE ID(S) template; no frozen concrete public ID,
F04,Formant and vowel-space measures,22,First formant (F1),f1_token_hz,IMPLEMENTED,True,formants,ALIGNMENT,NONE,recommended: Bamboo Passage; conditional: WSTG,NOT ESTABLISHED,Hz,150–1200 Hz,Aligned vowel token,family04-parselmouth-burg-1.0.0,family04_burg_native_5500_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F04,Formant and vowel-space measures,22,First formant (F1),f1_vowel_median_hz,IMPLEMENTED,True,formants,ALIGNMENT,VOWEL_CATEGORY,recommended: Bamboo Passage; conditional: WSTG,NOT ESTABLISHED,Hz,150–1200 Hz,Named vowel / recording,family04-parselmouth-burg-1.0.0,family04_burg_native_5500_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F04,Formant and vowel-space measures,31,F2 convergence (/i/-/a/ distance),f2_distance_i_a_hz,IMPLEMENTED,True,formants,ALIGNMENT,VOWEL_CATEGORY,,LIMITED,Hz,≥0 Hz,Recording,family04-parselmouth-burg-1.0.0,family04_burg_native_5500_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F05,Formant dynamics,34,Formant frequency range (diphthong),f2_range_<diphthong>_hz,UNRESOLVED_TEMPLATE,False,,ALIGNMENT,FORMANT_TARGET,,LIMITED,Hz,0–3000*,Speech · Frames,diphthong formant track → max−min,—,"Diphthong, glide exclusions and concrete ID not frozen.",PROJECT_TEMPLATE,DOCX FEATURE ID(S) template; no frozen concrete public ID,
F05,Formant dynamics,33,Formant transition slope (F1/F2 slope),f2_slope_<target>_hz_s,UNRESOLVED_TEMPLATE,False,,ALIGNMENT,FORMANT_TARGET,conditional: Bamboo Passage,STRONG,Hz/s,−80k–+80k*,Speech · Frames,aligned transition → Burg tracks → slope,—,"Target/task, transition window and concrete ID not frozen.",PROJECT_TEMPLATE,DOCX FEATURE ID(S) template; no frozen concrete public ID,
F04,Formant and vowel-space measures,21,Second formant (F2),f2_token_hz,IMPLEMENTED,True,formants,ALIGNMENT,NONE,recommended: Bamboo Passage; conditional: WSTG,NOT ESTABLISHED,Hz,500–3500 Hz,Aligned vowel token,family04-parselmouth-burg-1.0.0,family04_burg_native_5500_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F04,Formant and vowel-space measures,21,Second formant (F2),f2_vowel_median_hz,IMPLEMENTED,True,formants,ALIGNMENT,VOWEL_CATEGORY,recommended: Bamboo Passage; conditional: WSTG,NOT ESTABLISHED,Hz,500–3500 Hz,Named vowel / recording,family04-parselmouth-burg-1.0.0,family04_burg_native_5500_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F04,Formant and vowel-space measures,26,Third formant (F3),f3_token_hz,IMPLEMENTED,True,formants,ALIGNMENT,NONE,recommended: Bamboo Passage; conditional: WSTG,NOT ESTABLISHED,Hz,1200–5000 Hz,Aligned vowel token,family04-parselmouth-burg-1.0.0,family04_burg_native_5500_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F04,Formant and vowel-space measures,26,Third formant (F3),f3_vowel_median_hz,IMPLEMENTED,True,formants,ALIGNMENT,VOWEL_CATEGORY,recommended: Bamboo Passage; conditional: WSTG,NOT ESTABLISHED,Hz,1200–5000 Hz,Named vowel / recording,family04-parselmouth-burg-1.0.0,family04_burg_native_5500_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F04,Formant and vowel-space measures,29,Formant centralization ratio (FCR),fcr_iau,IMPLEMENTED,True,formants,ALIGNMENT,VOWEL_CATEGORY,recommended: Bamboo Passage,LIMITED,dimensionless,—,Recording,family04-parselmouth-burg-1.0.0,family04_burg_native_5500_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F04,Formant and vowel-space measures,24,Formant ratio index (FRI),fri_iau,IMPLEMENTED,True,formants,ALIGNMENT,VOWEL_CATEGORY,recommended: Bamboo Passage,NOT ESTABLISHED,dimensionless,—,Recording,family04-parselmouth-burg-1.0.0,family04_burg_native_5500_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F02,"Voice quality, perturbation and noise",8,Glottal-to-noise excitation ratio (GNE),gne_source_replication_only,NOT_IMPLEMENTED,False,voice,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,dimensionless,—,Voiced frames,family02-praat-1.0.0,family02_stable_vowel_praat_v1,Source filter bandwidth/order and envelope aggregation are not fully disclosed.,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,SOURCE_DEFINITION_INCOMPLETE
F02,"Voice quality, perturbation and noise",12,Harmonic-structure features (mean/SD/RelH of first 8 harmonics),harmonic_h1_h8_mean,NOT_IMPLEMENTED,False,voice,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,LIMITED,source-scaled,—,Cycles,family02-praat-1.0.0,family02_stable_vowel_praat_v1,Source harmonic scaling and window normalization are not reproducible.,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,SOURCE_DEFINITION_INCOMPLETE
F02,"Voice quality, perturbation and noise",12,Harmonic-structure features (mean/SD/RelH of first 8 harmonics),harmonic_h1_h8_sd,NOT_IMPLEMENTED,False,voice,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,LIMITED,source-scaled,—,Cycles,family02-praat-1.0.0,family02_stable_vowel_praat_v1,Source harmonic scaling and window normalization are not reproducible.,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,SOURCE_DEFINITION_INCOMPLETE
F02,"Voice quality, perturbation and noise",7,Harmonic-to-noise ratio (HNR),hnr_mean_db,IMPLEMENTED,True,voice,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,MODERATE,dB,—,Voiced frames,family02-praat-1.0.0,family02_stable_vowel_praat_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F01,F0 and pitch variability,4,Intonation marker (F0 variability composite),intonation_f0_iqr_st,IMPLEMENTED,True,voice,REVIEWED_SEGMENTATION,NONE,recommended: Bamboo Passage,LIMITED,st,—,Voiced frames,family01-praat-ac-1.0.0,family01_f0_praat_ac_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F01,F0 and pitch variability,4,Intonation marker (F0 variability composite),intonation_f0_sd_st,IMPLEMENTED,True,voice,REVIEWED_SEGMENTATION,NONE,recommended: Bamboo Passage,LIMITED,st,—,Voiced frames,family01-praat-ac-1.0.0,family01_f0_praat_ac_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F01,F0 and pitch variability,4,Intonation marker (F0 variability composite),intonation_factor_score_if_frozen,NOT_IMPLEMENTED,False,voice,REVIEWED_SEGMENTATION,NONE,recommended: Bamboo Passage,LIMITED,source-specific score,—,Whole task,family01-praat-ac-1.0.0,family01_f0_praat_ac_v1,Source coefficients and standardization transform were not supplied.,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,FACTOR_TRANSFORM_NOT_FROZEN
F02,"Voice quality, perturbation and noise",5,Jitter,jitter_absolute_s,IMPLEMENTED,True,voice,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,MODERATE,s,—,Cycles,family02-praat-1.0.0,family02_stable_vowel_praat_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F02,"Voice quality, perturbation and noise",5,Jitter,jitter_ddp_pct,IMPLEMENTED,True,voice,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,MODERATE,%,—,Cycles,family02-praat-1.0.0,family02_stable_vowel_praat_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F02,"Voice quality, perturbation and noise",5,Jitter,jitter_local_pct,IMPLEMENTED,True,voice,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,MODERATE,%,—,Cycles,family02-praat-1.0.0,family02_stable_vowel_praat_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F02,"Voice quality, perturbation and noise",5,Jitter,jitter_ppq5_pct,IMPLEMENTED,True,voice,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,MODERATE,%,—,Cycles,family02-praat-1.0.0,family02_stable_vowel_praat_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F02,"Voice quality, perturbation and noise",5,Jitter,jitter_rap_pct,IMPLEMENTED,True,voice,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,MODERATE,%,—,Cycles,family02-praat-1.0.0,family02_stable_vowel_praat_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F06,Segmental articulatory / phonetic contrasts,37,First spectral moment difference (/t/ vs /k/ place contrast),m1_t_minus_k_hz,IMPLEMENTED,True,segmental,ACOUSTIC_SUBEVENT_ANNOTATION,SEGMENTAL_TARGET,,LIMITED,Hz,−10k–+10k*,Matched burst pairs / recording,family06-aligned-subevents-1.0.0,family06_native_subevents_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F09,Pause and phrasing,55,Mean pause duration,mean_pause_duration_s,IMPLEMENTED,True,timing,REVIEWED_SEGMENTATION,NONE,recommended: Bamboo Passage,LIMITED,s,No universal bound,Pause events,family09-pause-1.0.0,family09_bamboo_reviewed_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F09,Pause and phrasing,56,Mean phrase duration,mean_phrase_duration_s,IMPLEMENTED,True,timing,REVIEWED_SEGMENTATION,NONE,recommended: Bamboo Passage,NOT ESTABLISHED,s,No universal bound,Phrase events,family09-pause-1.0.0,family09_bamboo_reviewed_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F07,Segment duration and temporal variability,43,Average word duration,mean_word_duration_s,IMPLEMENTED,True,timing,ALIGNMENT,NONE,recommended: Bamboo Passage,LIMITED,s,0.05–2.0 s,Aligned word tokens,family07-reviewed-duration-1.0.0,family07_alignment_tokens_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F12,Spectral and cepstral descriptors,65,Mel-frequency cepstral coefficients (MFCC),mfcc01_mean,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,cepstral coefficient,—,Frames,family12-spectral-1.0.0,family12_mfcc_48k_v1,,SOURCE_DEFINED_ID,Deterministic coefficient/band expansion of DOCX FEATURE ID(S) range,
F12,Spectral and cepstral descriptors,65,Mel-frequency cepstral coefficients (MFCC),mfcc01_sd,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,cepstral coefficient,—,Frames,family12-spectral-1.0.0,family12_mfcc_48k_v1,,SOURCE_DEFINED_ID,Deterministic coefficient/band expansion of DOCX FEATURE ID(S) range,
F12,Spectral and cepstral descriptors,65,Mel-frequency cepstral coefficients (MFCC),mfcc02_mean,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,cepstral coefficient,—,Frames,family12-spectral-1.0.0,family12_mfcc_48k_v1,,SOURCE_DEFINED_ID,Deterministic coefficient/band expansion of DOCX FEATURE ID(S) range,
F12,Spectral and cepstral descriptors,65,Mel-frequency cepstral coefficients (MFCC),mfcc02_sd,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,cepstral coefficient,—,Frames,family12-spectral-1.0.0,family12_mfcc_48k_v1,,SOURCE_DEFINED_ID,Deterministic coefficient/band expansion of DOCX FEATURE ID(S) range,
F12,Spectral and cepstral descriptors,65,Mel-frequency cepstral coefficients (MFCC),mfcc03_mean,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,cepstral coefficient,—,Frames,family12-spectral-1.0.0,family12_mfcc_48k_v1,,SOURCE_DEFINED_ID,Deterministic coefficient/band expansion of DOCX FEATURE ID(S) range,
F12,Spectral and cepstral descriptors,65,Mel-frequency cepstral coefficients (MFCC),mfcc03_sd,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,cepstral coefficient,—,Frames,family12-spectral-1.0.0,family12_mfcc_48k_v1,,SOURCE_DEFINED_ID,Deterministic coefficient/band expansion of DOCX FEATURE ID(S) range,
F12,Spectral and cepstral descriptors,65,Mel-frequency cepstral coefficients (MFCC),mfcc04_mean,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,cepstral coefficient,—,Frames,family12-spectral-1.0.0,family12_mfcc_48k_v1,,SOURCE_DEFINED_ID,Deterministic coefficient/band expansion of DOCX FEATURE ID(S) range,
F12,Spectral and cepstral descriptors,65,Mel-frequency cepstral coefficients (MFCC),mfcc04_sd,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,cepstral coefficient,—,Frames,family12-spectral-1.0.0,family12_mfcc_48k_v1,,SOURCE_DEFINED_ID,Deterministic coefficient/band expansion of DOCX FEATURE ID(S) range,
F12,Spectral and cepstral descriptors,65,Mel-frequency cepstral coefficients (MFCC),mfcc05_mean,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,cepstral coefficient,—,Frames,family12-spectral-1.0.0,family12_mfcc_48k_v1,,SOURCE_DEFINED_ID,Deterministic coefficient/band expansion of DOCX FEATURE ID(S) range,
F12,Spectral and cepstral descriptors,65,Mel-frequency cepstral coefficients (MFCC),mfcc05_sd,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,cepstral coefficient,—,Frames,family12-spectral-1.0.0,family12_mfcc_48k_v1,,SOURCE_DEFINED_ID,Deterministic coefficient/band expansion of DOCX FEATURE ID(S) range,
F12,Spectral and cepstral descriptors,65,Mel-frequency cepstral coefficients (MFCC),mfcc06_mean,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,cepstral coefficient,—,Frames,family12-spectral-1.0.0,family12_mfcc_48k_v1,,SOURCE_DEFINED_ID,Deterministic coefficient/band expansion of DOCX FEATURE ID(S) range,
F12,Spectral and cepstral descriptors,65,Mel-frequency cepstral coefficients (MFCC),mfcc06_sd,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,cepstral coefficient,—,Frames,family12-spectral-1.0.0,family12_mfcc_48k_v1,,SOURCE_DEFINED_ID,Deterministic coefficient/band expansion of DOCX FEATURE ID(S) range,
F12,Spectral and cepstral descriptors,65,Mel-frequency cepstral coefficients (MFCC),mfcc07_mean,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,NOT ESTABLISHED,cepstral coefficient,—,Frames,family12-spectral-1.0.0,family12_mfcc_48k_v1,,SOURCE_DEFINED_ID,Deterministic coefficient/band expansion of DOCX FEATURE ID(S) range,
